Nom_complet,Age,Ville,Salaire,Statut
Madeleine Lenoir,56,Lille,59778,Célibataire
Victor Picard,46,Lyon,31207,Célibataire
Daniel Chauvin,32,Bordeaux,76269,Marié(e)
Luce Renaud,60,Paris,45537,Marié(e)
Agathe Grégoire,25,Lille,55757,Marié(e)
Alix David,38,Paris,32040,Marié(e)
Christophe Dijoux,56,Paris,61986,Marié(e)
Virginie Baron,36,Paris,42612,Célibataire
Agathe Payet,40,Marseille,48441,Marié(e)
Maurice Rousset,28,Marseille,26471,Célibataire
Richard Pinto,28,Paris,55631,Célibataire
Suzanne Guichard,41,Lille,63461,Marié(e)
Isaac Lenoir,53,Bordeaux,46523,Marié(e)
Henriette Girard,57,Bordeaux,51348,Célibataire
David Chauvet,41,Lyon,21177,Marié(e)
Simone Lefort,20,Lille,24760,Marié(e)
Lorraine Briand,39,Marseille,52779,Marié(e)
Clémence Leblanc,19,Paris,41636,Divorcé(e)
Éric Dupont,41,Lyon,36353,Célibataire
Frédérique Tanguy,61,Bordeaux,73551,Divorcé(e)
Victoire Paris,47,Marseille,31556,Marié(e)
Josette Mathieu,55,Marseille,47598,Divorcé(e)
Luce Morel,19,Paris,31563,Marié(e)
Pénélope Bigot,38,Bordeaux,66819,Divorcé(e)
Patricia Langlois,50,Lille,63790,Marié(e)
Aurore Guyot,29,Marseille,28234,Divorcé(e)
Hugues Gosselin,39,Paris,45519,Divorcé(e)
Grégoire Bègue,61,Lille,46966,Divorcé(e)
Agnès Paul,42,Bordeaux,74597,Célibataire
Élise Guilbert,44,Marseille,36173,Divorcé(e)
Diane Renaud,59,Lille,79889,Célibataire
Françoise Letellier,45,Lille,46987,Marié(e)
Frédéric Maillet,33,Lille,33178,Divorcé(e)
David Rossi,32,Marseille,59338,Marié(e)
Élodie Sauvage,64,Marseille,78348,Marié(e)
Guy Turpin,61,Lyon,44596,Divorcé(e)
Pierre Tanguy,20,Bordeaux,53174,Célibataire
Gilles Pinto,54,Paris,61974,Divorcé(e)
François Antoine,24,Lille,24431,Marié(e)
Geneviève Chevallier,38,Lyon,79182,Marié(e)
Jacques Bernard,26,Paris,47764,Divorcé(e)
Marie Gaudin,56,Lyon,41627,Célibataire
Andrée Thibault,35,Marseille,59310,Célibataire
Juliette Ribeiro,21,Lille,76088,Marié(e)
Michelle Leduc,42,Paris,28906,Marié(e)
Inès Hamon,31,Paris,56914,Célibataire
