Nom_complet,Age,Ville,Salaire,Statut
Isaac Maillot,56.0,Lille,59778.0,Célibataire
Arthur Guillon,46.0,Lyon,31207.0,Célibataire
Augustin Lecoq,32.0,Bordeaux,76269.0,Marié(e)
Benoît Da Silva,60.0,,45537.0,Marié(e)
Yves François,25.0,Lille,55757.0,Marié(e)
Yves Pasquier,38.0,Paris,32040.0,Marié(e)
Renée Devaux,56.0,Paris,61986.0,Marié(e)
Luce Blanc,36.0,Paris,42612.0,Célibataire
Françoise Cordier,40.0,Marseille,48441.0,Marié(e)
Françoise Courtois,28.0,Marseille,26471.0,Célibataire
Lucas Morin,28.0,Paris,55631.0,Célibataire
Renée Besnard,41.0,Lille,63461.0,
Lucie Giraud,53.0,Bordeaux,46523.0,Marié(e)
Alexandre Lelièvre,57.0,Bordeaux,51348.0,Célibataire
Frédérique Baudry,41.0,Lyon,21177.0,Marié(e)
Rémy Techer,20.0,Lille,24760.0,Marié(e)
Claudine Chrétien,39.0,Marseille,52779.0,Marié(e)
Henriette Barbe,19.0,Paris,41636.0,Divorcé(e)
Marianne Humbert,41.0,Lyon,36353.0,
Audrey Lucas,61.0,Bordeaux,73551.0,Divorcé(e)
Alexandre Paul,47.0,Marseille,31556.0,Marié(e)
Pauline Moreau,55.0,Marseille,47598.0,Divorcé(e)
Roger Lesage,19.0,Paris,31563.0,Marié(e)
Stéphanie Fouquet,38.0,Bordeaux,66819.0,Divorcé(e)
Valentine Bouvier,,Lille,63790.0,Marié(e)
Éléonore Pasquier,29.0,Marseille,28234.0,Divorcé(e)
Guillaume Brunet,39.0,Paris,45519.0,Divorcé(e)
Vincent Verdier,61.0,Lille,46966.0,Divorcé(e)
Geneviève Bernard,,Bordeaux,74597.0,Célibataire
Susan Guillou,44.0,Marseille,36173.0,Divorcé(e)
François Laroche,59.0,Lille,79889.0,Célibataire
Pierre De Oliveira,45.0,Lille,46987.0,Marié(e)
Élodie Payet,,Lille,33178.0,Divorcé(e)
René De Oliveira,32.0,Marseille,59338.0,Marié(e)
Luc Delorme,64.0,Marseille,78348.0,Marié(e)
Jeanne Chauveau,61.0,Lyon,44596.0,Divorcé(e)
Emmanuel Poirier,20.0,Bordeaux,53174.0,Célibataire
Martin Delmas,54.0,,61974.0,Divorcé(e)
Jeannine Dubois,24.0,Lille,24431.0,Marié(e)
Nathalie Nicolas,38.0,Lyon,79182.0,
,26.0,Paris,47764.0,Divorcé(e)
Alexandre Couturier,56.0,Lyon,41627.0,Célibataire
Agnès Dias,35.0,Marseille,59310.0,Célibataire
Madeleine Bigot,21.0,Lille,76088.0,Marié(e)
Cécile Rolland,42.0,Paris,28906.0,Marié(e)
Émilie Berger,31.0,Paris,56914.0,Célibataire
Colette Leleu,26.0,Paris,,Divorcé(e)
Gérard Rousset,43.0,Paris,65379.0,Marié(e)
Laurence Caron,19.0,Paris,33076.0,Célibataire
Amélie Potier,37.0,Lyon,69292.0,Marié(e)
Agnès Neveu,45.0,Lille,57650.0,Divorcé(e)
Michèle Henry,64.0,Marseille,66881.0,Célibataire
Élodie Perrin,24.0,Marseille,66413.0,Marié(e)
Margaux Faure,61.0,Marseille,26012.0,Divorcé(e)
Emmanuelle Chrétien,25.0,Marseille,70115.0,Marié(e)
Zoé Launay,64.0,Lyon,27151.0,Divorcé(e)
Lucy Robert,52.0,Bordeaux,77716.0,Divorcé(e)
André Valette,,Lille,48211.0,Célibataire
Lucy Valette,34.0,Paris,47117.0,Divorcé(e)
René Leclercq,53.0,Bordeaux,56378.0,Marié(e)
Émile Valentin,57.0,Marseille,62652.0,Divorcé(e)
Nicolas Allain,21.0,Bordeaux,26894.0,Divorcé(e)
Stéphane Dupré,19.0,Lille,33467.0,Célibataire
Denis Colas,23.0,Paris,51010.0,Divorcé(e)
Adrien Marques,59.0,Paris,76463.0,Divorcé(e)
Tristan Da Silva,21.0,Lille,69257.0,Marié(e)
Stéphane Le Gall,46.0,Lille,74691.0,Célibataire
Alphonse Legendre,35.0,Marseille,62641.0,Célibataire
Maurice Vallet,43.0,Paris,32289.0,Célibataire
Valérie Royer,61.0,Bordeaux,64976.0,Divorcé(e)
Élisabeth Pinto,51.0,Lyon,63596.0,Célibataire
René Blot,27.0,Lyon,43171.0,Divorcé(e)
Noël Richard,53.0,Lille,54905.0,Divorcé(e)
Christiane Vidal,31.0,Marseille,,Marié(e)
Élise Michel,48.0,Lyon,72682.0,Marié(e)
Laetitia Weiss,32.0,Paris,54054.0,
Roger Muller,25.0,Lille,68478.0,Marié(e)
Juliette Delannoy,31.0,Bordeaux,64139.0,Marié(e)
